"","customer_id","delay_days","status"
"35",42,93.5,"Late"
"38",48,91.5,"Late"
"20",25,91,"Late"
"13",17,86,"Late"
"29",36,86,"Late"
"9",13,84.5,"Late"
"28",35,84.5,"Late"
"39",50,84.5,"Late"
"34",41,82.5,"Late"
"3",3,82.25,"Late"
"10",14,80.3333333333333,"Late"
"30",37,79.6666666666667,"Late"
"16",21,79.25,"Late"
"25",30,78.5,"Late"
"33",40,78.5,"Late"
"24",29,77.5,"Late"
"26",32,77.5,"Late"
"37",47,77,"Late"
"19",24,76.75,"Late"
"5",5,76.5,"Late"
"6",7,76.5,"Late"
"7",8,75.6666666666667,"Late"
"4",4,74,"Late"
"32",39,73.875,"Late"
"12",16,73.5,"Late"
"23",28,73,"Late"
"14",18,72.5,"Late"
"18",23,72.5,"Late"
"15",20,71.5,"Late"
"1",1,71.25,"Late"
"17",22,71,"Late"
"31",38,69.5,"Late"
"11",15,68.5,"Late"
"36",45,67.5,"Late"
"8",9,65.6666666666667,"Late"
"22",27,65.625,"Late"
"2",2,61.25,"Late"
"21",26,57.3333333333333,"On-time"
"27",33,57,"On-time"
