"","payment_date","payment_amount","week","gap"
"1",2026-01-24,440,4,0
"2",2026-01-25,0,4,1
"3",2026-01-26,600,5,0
"4",2026-01-27,0,5,1
"5",2026-01-28,0,5,2
"6",2026-01-29,1340,5,0
"7",2026-01-30,900,5,0
"8",2026-01-31,740,5,0
"9",2026-02-01,600,5,0
"10",2026-02-02,1040,6,0
"11",2026-02-03,600,6,0
"12",2026-02-04,0,6,1
"13",2026-02-05,1040,6,0
"14",2026-02-06,1040,6,0
"15",2026-02-07,900,6,0
"16",2026-02-08,0,6,1
"17",2026-02-09,0,7,2
"18",2026-02-10,1040,7,0
"19",2026-02-11,440,7,0
"20",2026-02-12,600,7,0
"21",2026-02-13,600,7,0
"22",2026-02-14,440,7,0
"23",2026-02-15,300,7,0
"24",2026-02-16,440,8,0
"25",2026-02-17,600,8,0
"26",2026-02-18,1340,8,0
"27",2026-02-19,440,8,0
"28",2026-02-20,1200,8,0
"29",2026-02-21,600,8,0
"30",2026-02-22,0,8,1
"31",2026-02-23,1040,9,0
"32",2026-02-24,440,9,0
"33",2026-02-25,440,9,0
"34",2026-02-26,600,9,0
"35",2026-02-27,740,9,0
"36",2026-02-28,300,9,0
"37",2026-03-01,440,9,0
"38",2026-03-02,600,10,0
"39",2026-03-03,0,10,1
"40",2026-03-04,0,10,2
"41",2026-03-05,600,10,0
"42",2026-03-06,0,10,1
"43",2026-03-07,0,10,2
"44",2026-03-08,300,10,0
"45",2026-03-09,300,11,0
"46",2026-03-10,0,11,1
"47",2026-03-11,900,11,0
"48",2026-03-12,740,11,0
"49",2026-03-13,0,11,1
"50",2026-03-14,0,11,2
"51",2026-03-15,1040,11,0
"52",2026-03-16,440,12,0
"53",2026-03-17,740,12,0
"54",2026-03-18,0,12,1
"55",2026-03-19,300,12,0
"56",2026-03-20,300,12,0
"57",2026-03-21,300,12,0
"58",2026-03-22,300,12,0
"59",2026-03-23,1040,13,0
"60",2026-03-24,0,13,1
"61",2026-03-25,0,13,2
"62",2026-03-26,0,13,3
"63",2026-03-27,0,13,4
"64",2026-03-28,0,13,5
"65",2026-03-29,0,13,6
"66",2026-03-30,0,14,7
"67",2026-03-31,0,14,8
"68",2026-04-01,0,14,9
"69",2026-04-02,0,14,10
"70",2026-04-03,0,14,11
"71",2026-04-04,0,14,12
"72",2026-04-05,0,14,13
"73",2026-04-06,0,15,14
"74",2026-04-07,0,15,15
"75",2026-04-08,0,15,16
"76",2026-04-09,0,15,17
"77",2026-04-10,0,15,18
"78",2026-04-11,0,15,19
"79",2026-04-12,0,15,20
"80",2026-04-13,0,16,21
"81",2026-04-14,0,16,22
"82",2026-04-15,0,16,23
"83",2026-04-16,0,16,24
"84",2026-04-17,0,16,25
"85",2026-04-18,0,16,26
"86",2026-04-19,0,16,27
"87",2026-04-20,0,17,28
"88",2026-04-21,0,17,29
"89",2026-04-22,0,17,30
"90",2026-04-23,0,17,31
"91",2026-04-24,0,17,32
"92",2026-04-25,0,17,33
"93",2026-04-26,0,17,34
"94",2026-04-27,0,18,35
