"","payment_date","payment_amount","week","gap","date_factor","day_type"
"1",2026-01-24,440,4,0,"2026-01-24","weekend"
"2",2026-01-25,0,4,1,"2026-01-25","weekend"
"3",2026-01-26,600,5,0,"2026-01-26","weekday"
"4",2026-01-27,0,5,1,"2026-01-27","weekday"
"5",2026-01-28,0,5,2,"2026-01-28","weekday"
"6",2026-01-29,1340,5,0,"2026-01-29","weekday"
"7",2026-01-30,900,5,0,"2026-01-30","weekday"
"8",2026-01-31,740,5,0,"2026-01-31","weekend"
"9",2026-02-01,600,5,0,"2026-02-01","weekend"
"10",2026-02-02,1040,6,0,"2026-02-02","weekday"
"11",2026-02-03,600,6,0,"2026-02-03","weekday"
"12",2026-02-04,0,6,1,"2026-02-04","weekday"
"13",2026-02-05,1040,6,0,"2026-02-05","weekday"
"14",2026-02-06,1040,6,0,"2026-02-06","weekday"
"15",2026-02-07,900,6,0,"2026-02-07","weekend"
"16",2026-02-08,0,6,1,"2026-02-08","weekend"
"17",2026-02-09,0,7,2,"2026-02-09","weekday"
"18",2026-02-10,1040,7,0,"2026-02-10","weekday"
"19",2026-02-11,440,7,0,"2026-02-11","weekday"
"20",2026-02-12,600,7,0,"2026-02-12","weekday"
"21",2026-02-13,600,7,0,"2026-02-13","weekday"
"22",2026-02-14,440,7,0,"2026-02-14","weekend"
"23",2026-02-15,300,7,0,"2026-02-15","weekend"
"24",2026-02-16,440,8,0,"2026-02-16","weekday"
"25",2026-02-17,600,8,0,"2026-02-17","weekday"
"26",2026-02-18,1340,8,0,"2026-02-18","weekday"
"27",2026-02-19,440,8,0,"2026-02-19","weekday"
"28",2026-02-20,1200,8,0,"2026-02-20","weekday"
"29",2026-02-21,600,8,0,"2026-02-21","weekend"
"30",2026-02-22,0,8,1,"2026-02-22","weekend"
"31",2026-02-23,1040,9,0,"2026-02-23","weekday"
"32",2026-02-24,440,9,0,"2026-02-24","weekday"
"33",2026-02-25,440,9,0,"2026-02-25","weekday"
"34",2026-02-26,600,9,0,"2026-02-26","weekday"
"35",2026-02-27,740,9,0,"2026-02-27","weekday"
"36",2026-02-28,300,9,0,"2026-02-28","weekend"
"37",2026-03-01,440,9,0,"2026-03-01","weekend"
"38",2026-03-02,600,10,0,"2026-03-02","weekday"
"39",2026-03-03,0,10,1,"2026-03-03","weekday"
"40",2026-03-04,0,10,2,"2026-03-04","weekday"
"41",2026-03-05,600,10,0,"2026-03-05","weekday"
"42",2026-03-06,0,10,1,"2026-03-06","weekday"
"43",2026-03-07,0,10,2,"2026-03-07","weekend"
"44",2026-03-08,300,10,0,"2026-03-08","weekend"
"45",2026-03-09,300,11,0,"2026-03-09","weekday"
"46",2026-03-10,0,11,1,"2026-03-10","weekday"
"47",2026-03-11,900,11,0,"2026-03-11","weekday"
"48",2026-03-12,740,11,0,"2026-03-12","weekday"
"49",2026-03-13,0,11,1,"2026-03-13","weekday"
"50",2026-03-14,0,11,2,"2026-03-14","weekend"
"51",2026-03-15,1040,11,0,"2026-03-15","weekend"
"52",2026-03-16,440,12,0,"2026-03-16","weekday"
"53",2026-03-17,740,12,0,"2026-03-17","weekday"
"54",2026-03-18,0,12,1,"2026-03-18","weekday"
"55",2026-03-19,300,12,0,"2026-03-19","weekday"
"56",2026-03-20,300,12,0,"2026-03-20","weekday"
"57",2026-03-21,300,12,0,"2026-03-21","weekend"
"58",2026-03-22,300,12,0,"2026-03-22","weekend"
"59",2026-03-23,1040,13,0,"2026-03-23","weekday"
"60",2026-03-24,0,13,1,"2026-03-24","weekday"
"61",2026-03-25,0,13,2,"2026-03-25","weekday"
"62",2026-03-26,0,13,3,"2026-03-26","weekday"
"63",2026-03-27,0,13,4,"2026-03-27","weekday"
"64",2026-03-28,0,13,5,"2026-03-28","weekend"
"65",2026-03-29,0,13,6,"2026-03-29","weekend"
"66",2026-03-30,0,14,7,"2026-03-30","weekday"
"145",2026-06-17,440,25,0,"2026-06-17","weekday"
"146",2026-06-18,0,25,1,"2026-06-18","weekday"
"147",2026-06-19,0,25,2,"2026-06-19","weekday"
"148",2026-06-20,0,25,3,"2026-06-20","weekend"
"149",2026-06-21,0,25,4,"2026-06-21","weekend"
"150",2026-06-22,300,26,0,"2026-06-22","weekday"
"151",2026-06-23,1040,26,0,"2026-06-23","weekday"
"152",2026-06-24,300,26,0,"2026-06-24","weekday"
"153",2026-06-25,0,26,1,"2026-06-25","weekday"
"154",2026-06-26,1340,26,0,"2026-06-26","weekday"
"155",2026-06-27,740,26,0,"2026-06-27","weekend"
"156",2026-06-28,600,26,0,"2026-06-28","weekend"
"157",2026-06-29,0,27,1,"2026-06-29","weekday"
"158",2026-06-30,600,27,0,"2026-06-30","weekday"
"159",2026-07-01,0,27,1,"2026-07-01","weekday"
"160",2026-07-02,1040,27,0,"2026-07-02","weekday"
"161",2026-07-03,1340,27,0,"2026-07-03","weekday"
"162",2026-07-04,440,27,0,"2026-07-04","weekend"
"163",2026-07-05,300,27,0,"2026-07-05","weekend"
"164",2026-07-06,900,28,0,"2026-07-06","weekday"
"165",2026-07-07,440,28,0,"2026-07-07","weekday"
"166",2026-07-08,0,28,1,"2026-07-08","weekday"
"167",2026-07-09,880,28,0,"2026-07-09","weekday"
"168",2026-07-10,900,28,0,"2026-07-10","weekday"
"169",2026-07-11,0,28,1,"2026-07-11","weekend"
"170",2026-07-12,0,28,2,"2026-07-12","weekend"
"171",2026-07-13,900,29,0,"2026-07-13","weekday"
"172",2026-07-14,0,29,1,"2026-07-14","weekday"
"173",2026-07-15,1180,29,0,"2026-07-15","weekday"
"174",2026-07-16,0,29,1,"2026-07-16","weekday"
"175",2026-07-17,600,29,0,"2026-07-17","weekday"
"176",2026-07-18,1200,29,0,"2026-07-18","weekend"
"177",2026-07-19,300,29,0,"2026-07-19","weekend"
"178",2026-07-20,900,30,0,"2026-07-20","weekday"
"179",2026-07-21,0,30,1,"2026-07-21","weekday"
"180",2026-07-22,0,30,2,"2026-07-22","weekday"
"181",2026-07-23,300,30,0,"2026-07-23","weekday"
"182",2026-07-24,0,30,1,"2026-07-24","weekday"
